"Sample","8q+","3q+","5q-","4q-","8p-","1q+","Xp-"
"1",0,0,0,0,0,1,0
"2",0,0,0,1,0,1,0
"3",1,1,1,1,0,0,0
"4",1,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",1,1,1,1,1,0,0
"7",1,1,1,1,1,0,1
"8",0,1,1,0,0,0,0
"9",0,1,0,0,0,0,1
"10",1,0,1,1,1,1,1
"11",0,0,0,0,0,0,0
"12",1,1,1,1,1,0,1
"13",1,1,1,1,1,1,1
"14",1,1,1,0,0,1,1
"15",1,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",1,1,0,0,0,1,1
"18",1,1,0,1,0,1,0
"19",1,0,1,1,0,1,0
"20",1,0,0,0,1,1,0
"21",1,0,1,1,1,1,1
"22",1,1,0,0,1,1,1
"23",1,1,1,1,1,1,0
"24",1,0,1,0,1,0,1
"25",0,0,0,0,0,0,0
"26",0,0,1,0,0,0,0
"27",1,1,1,1,1,0,1
"28",1,1,0,1,1,0,1
"29",1,1,1,1,1,0,1
"30",0,1,1,0,1,0,0
"31",1,1,1,1,1,0,1
"32",1,1,0,0,1,1,1
"33",1,0,1,1,1,0,1
"34",1,1,1,1,1,0,0
"35",1,1,1,0,1,1,1
"36",1,0,0,1,1,0,1
"37",1,0,0,1,1,1,0
"38",1,1,1,0,1,1,1
"39",1,1,1,1,1,0,1
"40",1,0,0,0,0,0,0
"41",1,1,0,1,0,1,0
"42",1,1,1,1,1,1,0
"43",0,0,1,1,0,1,1
"44",1,1,1,1,0,0,0
"45",1,1,1,1,1,0,1
"46",0,0,0,1,0,1,0
"47",0,0,0,0,0,0,0
"48",1,0,1,1,1,0,0
"49",0,0,0,0,0,1,0
"50",1,1,0,0,0,0,0
"51",1,1,1,1,0,1,0
"52",1,1,0,0,0,1,0
"53",1,1,0,0,0,0,0
"54",1,1,1,0,1,1,0
"55",1,0,0,0,0,0,0
"56",1,1,1,0,1,1,0
"57",1,1,0,1,1,0,1
"58",0,0,1,1,0,1,1
"59",1,0,0,0,0,0,0
"60",0,0,0,0,0,0,1
"61",1,1,0,0,0,0,0
"62",1,1,0,0,0,1,0
"63",0,0,1,1,1,1,1
"64",1,0,1,1,1,0,1
"65",0,0,1,0,0,0,1
"66",1,1,0,0,0,1,0
"67",0,1,0,0,0,1,0
"68",1,1,1,1,1,0,1
"69",1,1,1,1,1,0,0
"70",0,0,1,1,1,1,1
"71",1,0,1,1,1,1,0
"72",0,0,1,1,1,0,0
"73",1,0,0,0,0,0,0
"74",1,0,1,1,1,0,0
"75",1,1,1,0,1,0,1
"76",1,0,0,1,1,0,1
"77",0,0,0,0,0,0,0
"78",0,1,0,1,0,1,1
"79",1,1,0,0,1,1,1
"80",1,1,1,1,0,1,1
"81",0,1,1,1,0,1,1
"82",0,0,0,0,0,1,0
"83",1,1,1,1,1,0,1
"84",1,1,0,0,0,0,0
"85",1,1,1,1,0,1,0
"86",0,0,1,0,0,0,0
"87",1,1,0,0,0,0,0
