Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
0484C,1,0,1,0,1,0,1
0669D,1,0,1,0,1,0,1
1233R,1,0,1,0,1,0,1
0292T,1,0,1,0,1,0,1
1860Y,1,0,1,0,1,0,1
0283J,1,0,1,0,1,0,1
2073E,1,0,1,0,1,0,1
2072D,1,0,1,0,1,0,1
2011M,1,0,1,0,1,0,1
0145J,1,0,1,0,1,0,1
0967C,1,0,1,0,1,0,1
0590S,1,0,1,0,1,0,1
2491J,1,0,1,0,1,0,1
1705E,1,0,1,0,1,0,1
0843S,1,0,1,0,1,0,1
0609N,1,0,1,0,1,0,1
2128P,1,0,1,0,1,0,1
0406S,1,0,1,0,1,0,1
1731H,1,0,1,0,1,0,1
2311N,1,0,1,0,1,0,1
0512H,1,0,1,0,1,0,1
2369B,1,0,1,0,1,0,1
0658R,1,0,1,0,1,0,1
0126N,1,0,1,0,1,0,1
0481Z,1,0,1,0,1,0,1
0076J,1,0,1,0,1,0,1
0338T,1,0,1,0,1,0,1
0388Y,1,0,1,0,1,0,1
0031K,1,0,1,0,1,0,1
0495P,1,0,1,0,1,0,1
1596L,1,0,1,0,1,0,1
2152Q,1,0,1,0,1,0,1
0570W,1,0,1,0,1,0,1
2508C,1,0,1,0,1,0,1
1917K,1,0,1,0,1,0,1
1346P,1,0,1,0,1,0,1
1901S,1,0,1,0,1,0,1
0571X,1,0,1,0,1,0,1
0475S,1,0,1,0,1,0,1
2549X,1,0,1,0,1,0,1
0897B,1,0,1,0,1,0,1
0638V,1,0,1,0,1,0,1
0151Q,1,0,1,0,1,0,1
2639V,1,0,1,0,1,0,1
0345B,1,0,1,0,1,0,1
0330K,1,0,1,0,1,0,1
2335P,1,0,1,0,1,0,1
0312Q,1,0,1,0,1,0,1
1239Y,1,0,1,0,1,0,1
2089X,1,0,1,0,1,0,1
2127N,1,0,1,0,1,0,1
0383S,1,0,1,0,1,0,1
2352H,1,0,1,0,1,0,1
0826Z,1,0,1,0,1,0,1
1030W,1,0,1,0,1,0,1
1723Z,1,0,1,0,1,0,1
0696H,1,0,1,0,1,0,1
0649G,1,0,1,0,1,0,1
2215J,1,0,1,0,1,0,1
1502J,1,0,1,0,1,0,1
1755J,1,0,1,0,1,0,1
0255D,1,0,1,0,1,0,1
0647E,1,0,1,0,1,0,1
0508D,1,0,1,0,1,0,1
2362T,1,0,1,0,1,0,1
2385T,1,0,1,0,1,0,1
1474D,1,0,1,0,1,0,1
0828B,1,0,1,0,1,0,1
1810T,1,0,1,0,1,0,1
0187E,1,0,1,0,1,0,1
0389Z,1,0,1,0,1,0,1
